bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
peak,sim_deg,0.1,0.3,1,-1.0,5,5,True,False,False,0.1550,0.0256,0.1642,0.0198,0.1642,0.0198,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.1200,0.6740,0.1746,0.0000,0.8623,0.3969,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1599,0.1790,0.1179,0.1844,0.1337,logs/combo_filters_midmetrics/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.1.log
peak,sim_ood,0.1,0.3,-1,0.5,5,5,True,False,False,0.1601,0.0131,0.1647,0.0105,0.1647,0.0105,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.1171,0.6818,0.2134,0.1922,0.8623,0.3969,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1537,0.1549,0.1728,0.1773,0.1420,logs/combo_filters_midmetrics/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.1.log
peak,all3,0.15,0.3,1,0.5,5,5,True,False,False,0.1085,0.0098,0.1127,0.0054,0.1127,0.0054,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.0865,0.6370,0.2322,0.2639,0.8478,0.4791,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0914,0.1184,0.1105,0.1051,0.1171,logs/combo_filters_midmetrics/peak_all3_sim0.3_deg1_ood0.5_ptb0.15.log
peak,deg_ood,0.15,-1.0,1,0.5,5,5,True,False,False,0.1393,0.0180,0.1446,0.0162,0.1446,0.0162,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.0760,0.6875,0.2960,0.2639,0.8478,0.4791,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.1611,0.1379,0.1179,0.1582,0.1213,logs/combo_filters_midmetrics/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.15.log
peak,sim_deg,0.15,0.3,1,-1.0,5,5,True,False,False,0.1280,0.0161,0.1314,0.0162,0.1314,0.0162,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.1292,0.6465,0.2488,0.0000,0.8478,0.4791,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1150,0.1142,0.1154,0.1466,0.1487,logs/combo_filters_midmetrics/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.15.log
peak,sim_ood,0.15,0.3,-1,0.5,5,5,True,False,False,0.1103,0.0191,0.1188,0.0100,0.1188,0.0100,919.0000,75.0000,5278.0000,6122.0000,0.2639,0.8478,0.4791,,,,0.1033,0.6330,0.2289,0.2639,0.8478,0.4791,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0764,0.1225,0.1113,0.1080,0.1333,logs/combo_filters_midmetrics/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.15.log
peak,all3,0.2,0.3,1,0.5,5,5,True,False,False,0.1019,0.0195,0.1071,0.0184,0.1071,0.0184,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.0360,0.6610,0.3206,0.3230,0.8410,0.5361,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0810,0.1304,0.0997,0.0814,0.1171,logs/combo_filters_midmetrics/peak_all3_sim0.3_deg1_ood0.5_ptb0.2.log
peak,deg_ood,0.2,-1.0,1,0.5,5,5,True,False,False,0.1041,0.0218,0.1102,0.0203,0.1102,0.0203,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.0432,0.6737,0.3323,0.3230,0.8410,0.5361,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0797,0.1391,0.0947,0.1188,0.0880,logs/combo_filters_midmetrics/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.2.log
peak,sim_deg,0.2,0.3,1,-1.0,5,5,True,False,False,0.1066,0.0187,0.1139,0.0133,0.1139,0.0133,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.1101,0.6668,0.3261,0.0000,0.8410,0.5361,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1042,0.1366,0.1096,0.1051,0.0777,logs/combo_filters_midmetrics/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.2.log
peak,sim_ood,0.2,0.3,-1,0.5,5,5,True,False,False,0.1144,0.0130,0.1181,0.0118,0.1181,0.0118,1218.0000,108.0000,5278.0000,6388.0000,0.3230,0.8410,0.5361,,,,0.0285,0.6654,0.3259,0.3230,0.8410,0.5361,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.1179,0.1308,0.0993,0.0993,0.1246,logs/combo_filters_midmetrics/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.2.log
