bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
peak,sim_ood,0.1,0.3,-1,0.5,5,5,True,True,False,0.1504,0.0093,0.1541,0.0063,0.1541,0.0063,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1449,0.1358,0.1574,0.1620,0.1520,logs/combo_filters_edge_auc_f1_diag/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.1.log
peak,all3,0.15,0.3,1,0.5,5,5,True,True,False,0.1111,0.0242,0.1187,0.0212,0.1187,0.0212,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0810,0.0934,0.1213,0.1088,0.1512,logs/combo_filters_edge_auc_f1_diag/peak_all3_sim0.3_deg1_ood0.5_ptb0.15.log
peak,deg_ood,0.15,-1.0,1,0.5,5,5,True,True,False,0.1329,0.0239,0.1417,0.0180,0.1417,0.0180,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0976,0.1636,0.1246,0.1553,0.1233,logs/combo_filters_edge_auc_f1_diag/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.15.log
peak,sim_deg,0.15,0.3,1,-1.0,5,5,True,True,False,0.1291,0.0070,0.1317,0.0051,0.1317,0.0051,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1296,0.1184,0.1400,0.1312,0.1262,logs/combo_filters_edge_auc_f1_diag/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.15.log
peak,sim_ood,0.15,0.3,-1,0.5,5,5,True,True,False,0.1141,0.0181,0.1214,0.0121,0.1214,0.0121,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0851,0.1254,0.1196,0.1034,0.1370,logs/combo_filters_edge_auc_f1_diag/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.15.log
peak,all3,0.2,0.3,1,0.5,5,5,True,True,False,0.1061,0.0218,0.1118,0.0209,0.1118,0.0209,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.1333,0.0855,0.0972,0.0835,0.1312,logs/combo_filters_edge_auc_f1_diag/peak_all3_sim0.3_deg1_ood0.5_ptb0.2.log
peak,deg_ood,0.2,-1.0,1,0.5,5,5,True,True,False,0.1036,0.0107,0.1083,0.0057,0.1083,0.0057,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.0847,0.1071,0.1067,0.1175,0.1017,logs/combo_filters_edge_auc_f1_diag/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.2.log
peak,sim_deg,0.2,0.3,1,-1.0,5,5,True,True,False,0.0972,0.0225,0.1047,0.0188,0.1047,0.0188,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0918,0.1316,0.1121,0.0831,0.0673,logs/combo_filters_edge_auc_f1_diag/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.2.log
peak,sim_ood,0.2,0.3,-1,0.5,5,5,True,True,False,0.1057,0.0166,0.1100,0.0158,0.1100,0.0158,1218.0000,108.0000,5278.0000,6388.0000,,,,,,,,,,,,,0.3335,0.3891,0.6300,0.0000,0.0000,0.5000,0.4571,0.3203,0.5000,0.1312,0.0930,0.0968,0.0885,0.1192,logs/combo_filters_edge_auc_f1_diag/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.2.log
peak,all3,0.25,0.3,1,0.5,5,5,True,True,False,0.0978,0.0081,0.1005,0.0069,0.1005,0.0069,1507.0000,151.0000,5278.0000,6634.0000,,,,,,,,,,,,,0.3676,0.4400,0.6261,0.0000,0.0000,0.5000,0.5224,0.3702,0.5000,0.1080,0.0934,0.0872,0.0939,0.1067,logs/combo_filters_edge_auc_f1_diag/peak_all3_sim0.3_deg1_ood0.5_ptb0.25.log
